2905STDY8764995,CDCB212_4h,Transplant_WT
2905STDY8764996,CDCB214_2f,Transplant_D3
2905STDY8764997,CDFF244_3g,Transplant_D3
2905STDY8764998,CDFF249_2h,Transplant_WT
2905STDY8764999,DPMX58_4a,D3
2905STDY8765000,DPMX58_4b,WT
2905STDY8765001,DPMX58_4c,D3
2905STDY8765002,DPMX58_4d,WT
2905STDY8765003,HFCC25_1b,D3F
2905STDY8765004,HFCC25_1c,D3
2905STDY8765005,HFCC25_1d,D3F
2905STDY8765006,HFCC25_1e,D3
2905STDY8765007,FLTC1,F
2905STDY8765008,FLTC2,F
